value,rank,color,sigla_uf,state_id,component_id,component_name,dimension_id,dimension_name
"91,17",2,3,RJ,33,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"23,33",26,1,RN,24,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"35,05",20,1,RO,11,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"22,67",27,1,RR,14,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"47,66",12,2,RS,43,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"51,27",10,2,SC,42,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"43,13",16,2,SE,28,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"67,3",5,3,SP,35,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"46,08",13,2,TO,17,comp_meio_ambiente_e_resiliencia__cobertura_vegetal_e_conservacao,COBERTURA VEGETAL E CONSERVAÇÃO,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"50,31",14,2,AC,12,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"39,83",18,2,AL,27,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"59,09",11,2,AM,13,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"81,86",2,3,AP,16,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"23,26",23,1,BA,29,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"23,83",22,1,CE,23,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"94,52",1,3,DF,53,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"35,96",21,1,ES,32,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"38,66",19,1,GO,52,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"41,75",17,2,MA,21,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"41,77",16,2,MG,31,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"61,14",8,3,MS,50,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"60,92",9,3,MT,51,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"44,48",15,2,PA,15,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"20,88",25,1,PB,25,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"20,87",26,1,PE,26,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
"16,26",27,1,PI,22,comp_meio_ambiente_e_resiliencia__adaptacao_e_resiliencia_climatica,ADAPTAÇÃO E RESILIÊNCIA CLIMÁTICA,dim_meio_ambiente_e_resiliencia,MEIO AMBIENTE E RESILIÊNCIA
